,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
0,BISHAN VIEW,116,BISHAN STREET 12,BISHAN VIEW,116 BISHAN STREET 12 BISHAN VIEW SINGAPORE 570116,570116,29780.3450396033,36658.477708688,1.3478007201456,103.849316086687,103.849316086687,570116
0,982 BUANGKOK CRESCENT SINGAPORE 530982,982,BUANGKOK CRESCENT,NIL,982 BUANGKOK CRESCENT SINGAPORE 530982,530982,33118.1645297259,40312.9815477617,1.3808503546459,103.879309094304,103.879309094304,530982
1,DBS BUANGKOK CRESCENT,982,BUANGKOK CRESCENT,DBS BUANGKOK CRESCENT,982 BUANGKOK CRESCENT DBS BUANGKOK CRESCENT SINGAPORE 530982,530982,33119.7306860071,40317.9170149192,1.38089498895572,103.879323168238,103.879323168238,530982
0,FAJAR SHOPPING CENTRE,445,FAJAR ROAD,FAJAR SHOPPING CENTRE,445 FAJAR ROAD FAJAR SHOPPING CENTRE SINGAPORE 670445,670445,21039.6708725598,40614.8765663859,1.38358020252974,103.770774778244,103.770774778244,670445
1,DBS FAJAR SHOPPING CENTRE,445,FAJAR ROAD,DBS FAJAR SHOPPING CENTRE,445 FAJAR ROAD DBS FAJAR SHOPPING CENTRE SINGAPORE 670445,670445,21050.0964071397,40614.2677864283,1.38357469942896,103.770868459633,103.770868459633,670445
2,OCBC FAJAR SHOPPING CENTRE,445,FAJAR ROAD,OCBC FAJAR SHOPPING CENTRE,445 FAJAR ROAD OCBC FAJAR SHOPPING CENTRE SINGAPORE 670445,670445,21058.0735342484,40617.188162569,1.383601112147,103.77094013941,103.77094013941,670445
3,UOB FAJAR SHOPPING CENTRE,445,FAJAR ROAD,UOB FAJAR SHOPPING CENTRE,445 FAJAR ROAD UOB FAJAR SHOPPING CENTRE SINGAPORE 670445,670445,21052.1203969428,40622.3475522697,1.38364777037534,103.770886644788,103.770886644788,670445
4,CARPE DIEM YOUNG JOY PTE. LTD.,445,FAJAR ROAD,CARPE DIEM YOUNG JOY PTE. LTD.,445 FAJAR ROAD CARPE DIEM YOUNG JOY PTE. LTD. SINGAPORE 670445,670445,21074.3215392474,40594.8962768503,1.38339951629577,103.771086145173,103.771086145173,670445
0,FC/MARKET,118,RIVERVALE DRIVE,FC/MARKET,118 RIVERVALE DRIVE FC/MARKET SINGAPORE 540118,540118,35594.1773097906,40764.3713184167,1.38493202140031,103.901558018666,103.901558018666,540118
1,RIVERVALE PLAZA,118,RIVERVALE DRIVE,RIVERVALE PLAZA,118 RIVERVALE DRIVE RIVERVALE PLAZA SINGAPORE 540118,540118,35626.6290679974,40812.9693811964,1.385371516087,103.901849634797,103.901849634797,540118
2,OCBC RIVERVALE PLAZA,118,RIVERVALE DRIVE,OCBC RIVERVALE PLAZA,118 RIVERVALE DRIVE OCBC RIVERVALE PLAZA SINGAPORE 540118,540118,35635.1238986999,40821.4642118998,1.38544833801428,103.901925969477,103.901925969477,540118
3,UOB RIVERVALE PLAZA,118,RIVERVALE DRIVE,UOB RIVERVALE PLAZA,118 RIVERVALE DRIVE UOB RIVERVALE PLAZA SINGAPORE 540118,540118,35628.9458097387,40825.3254985828,1.38548325969892,103.901870455683,103.901870455683,540118
4,DBS NTUC RIVERVALE PLAZA,118,RIVERVALE DRIVE,DBS NTUC RIVERVALE PLAZA,118 RIVERVALE DRIVE DBS NTUC RIVERVALE PLAZA SINGAPORE 540118,540118,35642.0742147285,40827.6422100551,1.38550420775529,103.901988424927,103.901988424927,540118
5,DBS RIVERVALE PLAZA BRANCH,118,RIVERVALE DRIVE,DBS RIVERVALE PLAZA BRANCH,118 RIVERVALE DRIVE DBS RIVERVALE PLAZA BRANCH SINGAPORE 540118,540118,35642.0742147285,40827.6422100551,1.38550420775529,103.901988424927,103.901988424927,540118
6,OCBC RIVERVALE PLAZA - FAIRPRICE,118,RIVERVALE DRIVE,OCBC RIVERVALE PLAZA - FAIRPRICE,118 RIVERVALE DRIVE OCBC RIVERVALE PLAZA - FAIRPRICE SINGAPORE 540118,540118,35635.1238986999,40821.4642118998,1.38544833801428,103.901925969477,103.901925969477,540118
7,HDB SENGKANG BRANCH,118,RIVERVALE DRIVE,HDB SENGKANG BRANCH,118 RIVERVALE DRIVE HDB SENGKANG BRANCH SINGAPORE 540118,540118,35638.985155114,40833.048041679,1.3855530969334,103.901960668798,103.901960668798,540118
0,FUNAN O1,109,NORTH BRIDGE ROAD,FUNAN O1,109 NORTH BRIDGE ROAD FUNAN O1 SINGAPORE 179097,179097,29883.4235964604,30419.4526682906,1.29137717872277,103.850241930617,103.850241930617,179097
1,FUNAN O2,109,NORTH BRIDGE ROAD,FUNAN O2,109 NORTH BRIDGE ROAD FUNAN O2 SINGAPORE 179097,179097,29838.0474697426,30393.920322502,1.29114627586417,103.8498342056,103.8498342056,179097
2,DEPARTMENT OF STATISTICS,109,NORTH BRIDGE ROAD,DEPARTMENT OF STATISTICS,109 NORTH BRIDGE ROAD DEPARTMENT OF STATISTICS SINGAPORE 179097,179097,29848.1277979678,30388.2848779541,1.29109531029254,103.849924781238,103.849924781238,179097
0,108 PUNGGOL FIELD SINGAPORE 820108,108,PUNGGOL FIELD,NIL,108 PUNGGOL FIELD SINGAPORE 820108,820108,36407.4559063781,42043.3725142553,1.39649861628108,103.908866307025,103.908866307025,820108
1,DBS PUNGGOL FIELD,108,PUNGGOL FIELD,DBS PUNGGOL FIELD,108 PUNGGOL FIELD DBS PUNGGOL FIELD SINGAPORE 820108,820108,36405.7263937881,42046.4208936989,1.39652618520823,103.908850766858,103.908850766858,820108
2,UOB PUNGGOL FIELD,108,PUNGGOL FIELD,UOB PUNGGOL FIELD,108 PUNGGOL FIELD UOB PUNGGOL FIELD SINGAPORE 820108,820108,36407.4559063781,42043.3725142553,1.39649861628108,103.908866307025,103.908866307025,820108
0,EUNOS GROVE,631,BEDOK RESERVOIR ROAD,EUNOS GROVE,631 BEDOK RESERVOIR ROAD EUNOS GROVE SINGAPORE 470631,470631,37083.8196092555,35017.5269088056,1.33295923556348,103.914941831232,103.914941831232,470631
1,UOB BEDOK RESERVOIR ROAD,631,BEDOK RESERVOIR ROAD,UOB BEDOK RESERVOIR ROAD,631 BEDOK RESERVOIR ROAD UOB BEDOK RESERVOIR ROAD SINGAPORE 470631,470631,37083.8196092555,35017.4713065196,1.33295873271664,103.914941831215,103.914941831215,470631
2,OCBC BEDOK RESERVOIR RD - 7 ELEVEN,631,BEDOK RESERVOIR ROAD,OCBC BEDOK RESERVOIR RD - 7 ELEVEN,631 BEDOK RESERVOIR ROAD OCBC BEDOK RESERVOIR RD - 7 ELEVEN SINGAPORE 470631,470631,37083.8196092555,35017.4713065196,1.33295873271664,103.914941831215,103.914941831215,470631
0,761 YISHUN STREET 72 SINGAPORE 760761,761,YISHUN STREET 72,NIL,761 YISHUN STREET 72 SINGAPORE 760761,760761,27993.3737981999,45238.8323241491,1.42539842469037,103.833259035976,103.833259035976,760761
1,UOB YISHUN STREET 72,761,YISHUN STREET 72,UOB YISHUN STREET 72,761 YISHUN STREET 72 UOB YISHUN STREET 72 SINGAPORE 760761,760761,27993.3737981999,45238.8322938811,1.42539842441665,103.833259035976,103.833259035976,760761
0,MY FIRST SKOOL,604,SEMBAWANG ROAD,MY FIRST SKOOL,604 SEMBAWANG ROAD MY FIRST SKOOL SINGAPORE 758459,758459,27051.0859117657,47047.237293398,1.44175296834191,103.82479165671,103.82479165671,758459
1,SEMBAWANG SHOPPING CENTRE,604,SEMBAWANG ROAD,SEMBAWANG SHOPPING CENTRE,604 SEMBAWANG ROAD SEMBAWANG SHOPPING CENTRE SINGAPORE 758459,758459,27055.6218415368,47058.3263021801,1.4418532534675,103.824832416105,103.824832416105,758459
2,DBS SEMBAWANG SHOPPING CENTRE,604,SEMBAWANG ROAD,DBS SEMBAWANG SHOPPING CENTRE,604 SEMBAWANG ROAD DBS SEMBAWANG SHOPPING CENTRE SINGAPORE 758459,758459,27070.9749130616,47058.3069912065,1.44185307934019,103.824970378482,103.824970378482,758459
3,OCBC SEMBAWANG SHOPPING CENTRE,604,SEMBAWANG ROAD,OCBC SEMBAWANG SHOPPING CENTRE,604 SEMBAWANG ROAD OCBC SEMBAWANG SHOPPING CENTRE SINGAPORE 758459,758459,27055.6218112689,47058.3262113761,1.44185325264629,103.824832415833,103.824832415833,758459
4,UOB SEMBAWANG SHOPPING CENTRE,604,SEMBAWANG ROAD,UOB SEMBAWANG SHOPPING CENTRE,604 SEMBAWANG ROAD UOB SEMBAWANG SHOPPING CENTRE SINGAPORE 758459,758459,27018.0804916006,47048.8058105819,1.44176715230315,103.82449507066,103.82449507066,758459
0,DBS KIM KEAT AVENUE,260,KIM KEAT AVENUE,DBS KIM KEAT AVENUE,260 KIM KEAT AVENUE DBS KIM KEAT AVENUE SINGAPORE 310260,310260,30677.6227089753,34911.2805047724,1.33199962341698,103.857378530285,103.857378530285,310260
1,MULTI STOREY CAR PARK,260,KIM KEAT AVENUE,MULTI STOREY CAR PARK,260 KIM KEAT AVENUE MULTI STOREY CAR PARK SINGAPORE 310260,310260,30677.5717376908,34923.7921693251,1.33211277447271,103.857378073376,103.857378073376,310260
2,OCBC KIM KEAT AVENUE,260,KIM KEAT AVENUE,OCBC KIM KEAT AVENUE,260 KIM KEAT AVENUE OCBC KIM KEAT AVENUE SINGAPORE 310260,310260,30681.8592883889,34923.8076968007,1.33211291451911,103.85741659944,103.85741659944,310260
0,1 JALAN BERSEH SINGAPORE 209037,1,JALAN BERSEH,NIL,1 JALAN BERSEH SINGAPORE 209037,209037,30636.7439808864,32233.7616801765,1.30778509510259,103.857010982845,103.857010982845,209037
1,NEW WORLD CENTRE,1,JALAN BERSEH,NEW WORLD CENTRE,1 JALAN BERSEH NEW WORLD CENTRE SINGAPORE 209037,209037,30688.7600859962,32191.8934614304,1.30740644924486,103.85747836874,103.85747836874,209037
2,OCBC NEW WORLD CENTRE,1,JALAN BERSEH,OCBC NEW WORLD CENTRE,1 JALAN BERSEH OCBC NEW WORLD CENTRE SINGAPORE 209037,209037,30688.7600859962,32191.8934916984,1.3074064495186,103.85747836874,103.85747836874,209037
0,7 JURONG WEST AVENUE 5 SINGAPORE 649486,7,JURONG WEST AVENUE 5,NIL,7 JURONG WEST AVENUE 5 SINGAPORE 649486,649486,13543.24002547,36767.682989737,1.34878489718302,103.703415655017,103.703415655017,649486
0,KENT VALE,101,CLEMENTI ROAD,KENT VALE,101 CLEMENTI ROAD KENT VALE SINGAPORE 129787,129787,20883.2178742886,31567.6702650767,1.30176049506481,103.769371057337,103.769371057337,129787
1,DBS NUS KENT VALE,101,CLEMENTI ROAD,DBS NUS KENT VALE,101 CLEMENTI ROAD DBS NUS KENT VALE SINGAPORE 129787,129787,20883.0325131556,31567.7597977724,1.30176130472397,103.769369391763,103.769369391763,129787
0,GOMBAK PLACE,280,BUKIT BATOK EAST AVENUE 3,GOMBAK PLACE,280 BUKIT BATOK EAST AVENUE 3 GOMBAK PLACE SINGAPORE 650280,650280,19511.5483103041,36647.6310556512,1.34770147739311,103.757044584552,103.757044584552,650280
1,DBS NTUC BUKIT BATOK EAST AVENUE 3,280,BUKIT BATOK EAST AVENUE 3,DBS NTUC BUKIT BATOK EAST AVENUE 3,280 BUKIT BATOK EAST AVENUE 3 DBS NTUC BUKIT BATOK EAST AVENUE 3 SINGAPORE 650280,650280,19523.2876872532,36638.8865140844,1.34762239826033,103.757150072517,103.757150072517,650280
2,OCBC BUKIT BATOK EAST AVE 3 - FAIRPRICE,280,BUKIT BATOK EAST AVENUE 3,OCBC BUKIT BATOK EAST AVE 3 - FAIRPRICE,280 BUKIT BATOK EAST AVENUE 3 OCBC BUKIT BATOK EAST AVE 3 - FAIRPRICE SINGAPORE 650280,650280,19523.2876872532,36638.8865140844,1.34762239826033,103.757150072517,103.757150072517,650280
0,OCBC SUNTECT CITY,3,TEMASEK BOULEVARD,OCBC SUNTECT CITY,3 TEMASEK BOULEVARD OCBC SUNTECT CITY SINGAPORE 038983,038983,30710.7116990434,30806.678278571,1.2948790500243,103.857675494346,103.857675494346,038983
1,SUNTEC CITY MALL,3,TEMASEK BOULEVARD,SUNTEC CITY MALL,3 TEMASEK BOULEVARD SUNTEC CITY MALL SINGAPORE 038983,038983,30829.7961170301,30927.3030645158,1.29596992749652,103.858745530061,103.858745530061,038983
2,CITIBANK SUNTEC CITY MALL,3,TEMASEK BOULEVARD,CITIBANK SUNTEC CITY MALL,3 TEMASEK BOULEVARD CITIBANK SUNTEC CITY MALL SINGAPORE 038983,038983,30808.3234040206,30898.7299970835,1.29571152468884,103.858552585838,103.858552585838,038983
3,DBS SUNTEC CITY BASEMENT,3,TEMASEK BOULEVARD,DBS SUNTEC CITY BASEMENT,3 TEMASEK BOULEVARD DBS SUNTEC CITY BASEMENT SINGAPORE 038983,038983,30715.3419438526,30807.3397550862,1.2948850317824,103.85771709915,103.85771709915,038983
4,DBS SUNTEC CITY BRANCH,3,TEMASEK BOULEVARD,DBS SUNTEC CITY BRANCH,3 TEMASEK BOULEVARD DBS SUNTEC CITY BRANCH SINGAPORE 038983,038983,30714.0190210883,30803.0402788036,1.29484614894919,103.857705211747,103.857705211747,038983
5,GOLDEN VILLAGE (GV SUNTEC CITY),3,TEMASEK BOULEVARD,GOLDEN VILLAGE (GV SUNTEC CITY),3 TEMASEK BOULEVARD GOLDEN VILLAGE (GV SUNTEC CITY) SINGAPORE 038983,038983,31006.546098751,30804.5639691036,1.29485990186642,103.860333693777,103.860333693777,038983
6,HSBC SUNTEC CITY BRANCH,3,TEMASEK BOULEVARD,HSBC SUNTEC CITY BRANCH,3 TEMASEK BOULEVARD HSBC SUNTEC CITY BRANCH SINGAPORE 038983,038983,30713.3575445721,30811.6392313689,1.29492391490317,103.857699268838,103.857699268838,038983
7,OCBC SUNTECT CITY BRANCH,3,TEMASEK BOULEVARD,OCBC SUNTECT CITY BRANCH,3 TEMASEK BOULEVARD OCBC SUNTECT CITY BRANCH SINGAPORE 038983,038983,30710.7116990434,30806.678278571,1.2948790500243,103.857675494346,103.857675494346,038983
8,SUNTEC CITY POST OFFICE,3,TEMASEK BOULEVARD,SUNTEC CITY POST OFFICE,3 TEMASEK BOULEVARD SUNTEC CITY POST OFFICE SINGAPORE 038983,038983,30952.7377052531,30823.6440888029,1.29503246087729,103.859850203963,103.859850203963,038983
9,UOB SUNTEC CITY BRANCH,3,TEMASEK BOULEVARD,UOB SUNTEC CITY BRANCH,3 TEMASEK BOULEVARD UOB SUNTEC CITY BRANCH SINGAPORE 038983,038983,31010.8091021134,30745.3250150401,1.29432416524255,103.860371993025,103.860371993025,038983
0,KRANJI INDUSTRIAL ESTATE,257,KRANJI ROAD,KRANJI INDUSTRIAL ESTATE,257 KRANJI ROAD KRANJI INDUSTRIAL ESTATE SINGAPORE 739503,739503,19173.9856812768,46405.2125272434,1.43594536031501,103.754008428765,103.754008428765,739503
0,342 TANJONG KATONG ROAD SINGAPORE 437112,342,TANJONG KATONG ROAD,NIL,342 TANJONG KATONG ROAD SINGAPORE 437112,437112,35031.3305319753,31785.8741876502,1.30373387351391,103.89649832916,103.89649832916,437112
1,342A TANJONG KATONG ROAD SINGAPORE 437112,342A,TANJONG KATONG ROAD,NIL,342A TANJONG KATONG ROAD SINGAPORE 437112,437112,35031.3305017073,31785.8741876502,1.30373387351392,103.896498328888,103.896498328888,437112
0,SEASTRAND,11,PASIR RIS LINK,SEASTRAND,11 PASIR RIS LINK SEASTRAND SINGAPORE 518180,518180,42191.5374121536,39731.460876856,1.37558830923858,103.960839727163,103.960839727163,518180
0,THE WOODGROVE,30,WOODLANDS AVENUE 1,THE WOODGROVE,30 WOODLANDS AVENUE 1 THE WOODGROVE SINGAPORE 739065,739065,22213.9333429039,45681.6795617584,1.42940278239401,103.781325393513,103.781325393513,739065
1,DBS NTUC THE WOODGROVE,30,WOODLANDS AVENUE 1,DBS NTUC THE WOODGROVE,30 WOODLANDS AVENUE 1 DBS NTUC THE WOODGROVE SINGAPORE 739065,739065,22210.2299037557,45679.6846897546,1.42938474074211,103.781292115087,103.781292115087,739065
2,OCBC WOODLANDS AVENUE 1 - FAIRPRICE,30,WOODLANDS AVENUE 1,OCBC WOODLANDS AVENUE 1 - FAIRPRICE,30 WOODLANDS AVENUE 1 OCBC WOODLANDS AVENUE 1 - FAIRPRICE SINGAPORE 739065,739065,22215.256628884,45674.3320995141,1.42933633490183,103.781337285958,103.781337285958,739065
0,373 BUKIT BATOK STREET 31 SINGAPORE 650373,373,BUKIT BATOK STREET 31,NIL,373 BUKIT BATOK STREET 31 SINGAPORE 650373,650373,18771.8070211457,37888.648958724,1.35892457118178,103.750397174291,103.750397174291,650373
1,LITTLE GREENHOUSE @ BUKIT BATOK PTE LTD,373,BUKIT BATOK STREET 31,LITTLE GREENHOUSE @ BUKIT BATOK PTE LTD,373 BUKIT BATOK STREET 31 LITTLE GREENHOUSE @ BUKIT BATOK PTE LTD SINGAPORE 650373,650373,18768.3155789552,37891.0598036274,1.35894637289694,103.750365800657,103.750365800657,650373
0,11 RIVERVALE CRESCENT SINGAPORE 545082,11,RIVERVALE CRESCENT,NIL,11 RIVERVALE CRESCENT SINGAPORE 545082,545082,35919.7396821184,41601.6646846253,1.39250410994832,103.904483668323,103.904483668323,545082
1,RIVERVALE MALL,11,RIVERVALE CRESCENT,RIVERVALE MALL,11 RIVERVALE CRESCENT RIVERVALE MALL SINGAPORE 545082,545082,35918.5612889761,41569.95358398,1.39221732667769,103.904473070943,103.904473070943,545082
2,DBS RIVERVALE MALL,11,RIVERVALE CRESCENT,DBS RIVERVALE MALL,11 RIVERVALE CRESCENT DBS RIVERVALE MALL SINGAPORE 545082,545082,35918.5612889761,41569.953614248,1.39221732695142,103.904473070943,103.904473070943,545082
