,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
0,DE LA SALLE SCHOOL,11,CHOA CHU KANG STREET 52,DE LA SALLE SCHOOL,11 CHOA CHU KANG STREET 52 DE LA SALLE SCHOOL SINGAPORE 689285,689285,17998.1096549891,41885.6712643355,1.39507191622878,103.743443644259,103.743443644259,De La Salle School
0,DE LA SALLE SCHOOL,11,CHOA CHU KANG STREET 52,DE LA SALLE SCHOOL,11 CHOA CHU KANG STREET 52 DE LA SALLE SCHOOL SINGAPORE 689285,689285,17998.1096549891,41885.6712643355,1.39507191622878,103.743443644259,103.743443644259,Methodist Girls' School (Primary)
0,RULANG PRIMARY SCHOOL,6,JURONG WEST STREET 52,RULANG PRIMARY SCHOOL,6 JURONG WEST STREET 52 RULANG PRIMARY SCHOOL SINGAPORE 649295,649295,15278.691163213,36553.0314388052,1.34684445616169,103.719009824408,103.719009824408,Rulang Primary School
0,WEST VIEW PRIMARY SCHOOL,31,SENJA ROAD,WEST VIEW PRIMARY SCHOOL,31 SENJA ROAD WEST VIEW PRIMARY SCHOOL SINGAPORE 677742,677742,19872.748479072,40616.0567150712,1.38359057382601,103.760289106472,103.760289106472,West View Primary School
1,BIG HEART STUDENT CARE (WEST VIEW PRIMARY SCHOOL),31,SENJA ROAD,BIG HEART STUDENT CARE (WEST VIEW PRIMARY SCHOOL),31 SENJA ROAD BIG HEART STUDENT CARE (WEST VIEW PRIMARY SCHOOL) SINGAPORE 677742,677742,19871.0048010657,40637.6069141179,1.38378546546229,103.760273432258,103.760273432258,West View Primary School
0,YUHUA PRIMARY SCHOOL,158,JURONG EAST STREET 24,YUHUA PRIMARY SCHOOL,158 JURONG EAST STREET 24 YUHUA PRIMARY SCHOOL SINGAPORE 609558,609558,17710.4889872195,36118.961250579,1.34291981758865,103.740861144256,103.740861144256,Yuhua Primary School
0,ALEXANDRA PRIMARY SCHOOL,2A,PRINCE CHARLES CRESCENT,ALEXANDRA PRIMARY SCHOOL,2A PRINCE CHARLES CRESCENT ALEXANDRA PRIMARY SCHOOL SINGAPORE 159016,159016,26956.3330178494,30410.8076175861,1.29129903505281,103.823940793685,103.823940793685,Alexandra Primary School
0,RIVERVALE PRIMARY SCHOOL,80,RIVERVALE DRIVE,RIVERVALE PRIMARY SCHOOL,80 RIVERVALE DRIVE RIVERVALE PRIMARY SCHOOL SINGAPORE 545092,545092,35945.8458180744,41719.9470313098,1.39357380506775,103.904718284557,103.904718284557,Rivervale Primary School
0,HOLY INNOCENTS' PRIMARY SCHOOL,5,LORONG LOW KOON,HOLY INNOCENTS' PRIMARY SCHOOL,5 LORONG LOW KOON HOLY INNOCENTS' PRIMARY SCHOOL SINGAPORE 536451,536451,34717.9667321779,38752.5265134238,1.3667378414426,103.893684148327,103.893684148327,Holy Innocents' Primary School
0,HOUGANG PRIMARY SCHOOL,1,HOUGANG STREET 93,HOUGANG PRIMARY SCHOOL,1 HOUGANG STREET 93 HOUGANG PRIMARY SCHOOL SINGAPORE 534238,534238,33324.8487603758,40002.215406863,1.3780398609897,103.881166249315,103.881166249315,Hougang Primary School
0,CANOSSA CATHOLIC PRIMARY SCHOOL,1,SALLIM ROAD,CANOSSA CATHOLIC PRIMARY SCHOOL,1 SALLIM ROAD CANOSSA CATHOLIC PRIMARY SCHOOL SINGAPORE 387621,387621,33390.6987869078,34304.4229587168,1.32651105993099,103.88175693878,103.88175693878,Canossa Catholic Primary School
0,AHMAD IBRAHIM PRIMARY SCHOOL,10,YISHUN STREET 11,AHMAD IBRAHIM PRIMARY SCHOOL,10 YISHUN STREET 11 AHMAD IBRAHIM PRIMARY SCHOOL SINGAPORE 768643,768643,27956.1216285797,46154.7006799243,1.43368120674913,103.832924289687,103.832924289687,Ahmad Ibrahim Primary School
0,ZHENGHUA PRIMARY SCHOOL,9,FAJAR ROAD,ZHENGHUA PRIMARY SCHOOL,9 FAJAR ROAD ZHENGHUA PRIMARY SCHOOL SINGAPORE 679002,679002,20861.1568122124,40197.1465491671,1.37980236109135,103.76917079696,103.76917079696,Zhenghua Primary School
0,ZHENGHUA PRIMARY SCHOOL,9,FAJAR ROAD,ZHENGHUA PRIMARY SCHOOL,9 FAJAR ROAD ZHENGHUA PRIMARY SCHOOL SINGAPORE 679002,679002,20861.1568122124,40197.1465491671,1.37980236109135,103.76917079696,103.76917079696,CHIJ (Katong) Primary
0,WHEE!CANOPUS STUDENT CARE @ NORTHOAKS PRIMARY SCHOOL,61,SEMBAWANG DRIVE,WHEE!CANOPUS STUDENT CARE @ NORTHOAKS PRIMARY SCHOOL,61 SEMBAWANG DRIVE WHEE!CANOPUS STUDENT CARE @ NORTHOAKS PRIMARY SCHOOL SINGAPORE 757622,757622,25806.75720583,48696.3490983918,1.4566668656294,103.813610016949,103.813610016949,Northoaks Primary School
