flat,school,school_dist,num_school_2km,hawker,hawker_dist,num_hawker_2km,mrt,mrt_dist,num_mrt_2km,supermarket_dist,num_supermarket_2km,dist_central
472 CHOA CHU KANG AVE 3,Concord Primary School,0.17061580572449186,9,Blk 505 Jurong West Street 52,3.8878245025128253,0,SOUTH VIEW LRT STATION,0.8755748609536649,5,0.21008150447702922,10,16.459692585017013
298D COMPASSVALE ST,Compassvale Primary School,0.36962391935451444,27,Kovan Market & Food Centre,4.384439928861263,0,COMPASSVALE LRT STATION,0.1549622231907922,26,0.5390266453736182,19,13.522809560733595
282 CHOA CHU KANG AVE 3,Chua Chu Kang Primary School,0.3159107870523641,11,Market Street Food Centre,4.10593521075246,0,SOUTH VIEW LRT STATION,0.2340819511875829,8,0.193019825237452,13,16.063904767916338
549 PASIR RIS ST 51,Casuarina Primary School,0.6882192506945406,19,Market Street Food Centre,2.6355335640134157,0,PASIR RIS MRT STATION,0.7390973527089464,4,0.591165545309006,15,14.655145207309136
220 YISHUN ST 21,Yishun Primary School,0.1360438916052047,14,Chong Pang Market & Food Centre,0.7938123355879321,2,YISHUN MRT STATION,0.46226876263329664,2,0.28866736337493754,18,16.627978427965406
255 PASIR RIS ST 21,White Sands Primary School,0.46992495272549367,10,Market Street Food Centre,3.3049527834316836,0,TAMPINES EAST MRT STATION,1.7068771436211168,2,0.1432741995363378,10,15.619742468973007
532 PASIR RIS DR 1,Elias Park Primary School,0.7294718431396392,15,Market Street Food Centre,2.900784239984212,0,PASIR RIS MRT STATION,0.25281570056865493,3,0.1664518457058078,13,14.663392333238276
149 SILAT AVE,Radin Mas Primary School,0.8762505746740211,6,Blk 112 Jalan Bukit Merah,0.6870924436223806,21,OUTRAM PARK MRT STATION,0.9262868975725634,9,0.7934859878491864,21,2.3310891410558736
410 HOUGANG AVE 10,CHIJ Our Lady of the Nativity,0.3405924510365954,15,Kovan Market & Food Centre,1.8958389826759574,2,HOUGANG MRT STATION,0.38574958596235503,10,0.19245716993112494,16,11.030499566897909
470A FERNVALE LINK,Sengkang Green Primary School,0.6282338918842315,6,Chomp Chomp Food Centre,3.8456628031082083,0,KUPANG LRT STATION,0.2731723881728585,10,0.28551983118081087,10,12.809801230701758
